sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
26,2025-10-18 13:00,40.44507621149786,-104.637954590836,1500,0.6,1.8184011133665048,2.0054060053430143,6.0,0.5,57600,gfs,1,0.1,1.22,11095.0,1767919301.8213437,39.73962647038392,-102.60248802116479,27590.09375490373,39.61617676977136,-102.18623009039771,1496.7448652691676,228176.4249963893
27,2025-10-18 13:00,40.44607117572939,-104.63778718671821,1500,0.6,1.772046229909566,1.9235115700076264,6.0,0.5,57600,gfs,1,0.1,1.22,15617.0,1767919311.2441103,39.30367552377315,-101.57934915854302,27794.84078191948,39.20860278809041,-101.19213087661927,1499.83652521716,324794.5504885845
28,2025-10-18 13:00,40.446609390886685,-104.63747493489907,1500,0.6,1.7893935404822199,1.853918599561479,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.446609390886685,-104.63747493489907,1500.0,40.446609390886685,-104.63747493489907,1500.0,0.0
29,2025-10-18 13:00,40.44606105677963,-104.63728332689118,1500,0.6,1.7847670260003925,1.9591650985515592,6.0,0.5,57600,gfs,1,0.1,1.22,12190.5,1767919318.1215413,39.647112716848916,-102.35038082816891,27705.427222345475,39.53117618866599,-101.9396241285522,1499.911029332013,251319.29852810316
30,2025-10-18 13:00,40.4464500497526,-104.63831993089141,1500,0.6,1.7808802640924404,1.940627896006456,6.0,0.5,57600,gfs,1,0.1,1.22,14119.0,1767919326.0740654,39.44190628880515,-101.90097528469884,27752.318725099758,39.33373919228238,-101.50572845343187,1499.9601324502455,294489.9210790658
31,2025-10-18 13:00,40.446502860841306,-104.63749267149446,1500,0.6,1.810365001586827,1.9224997651885907,6.0,0.5,57600,gfs,1,0.1,1.22,28799.5,1767919353.3126442,38.68839826387542,-97.75237365187651,16525.735406997464,38.68839715812088,-97.75227667231972,16524.827577278116,621514.0121081163
32,2025-10-18 13:00,40.44705178586754,-104.63790114346041,1500,0.6,1.787657948360203,1.9833824577573513,6.0,0.5,57600,gfs,1,0.1,1.22,10453.5,1767919358.3990006,39.79604957753983,-102.74029977459429,27643.90071602083,39.66219491222262,-102.32633763846643,1498.8542529920987,215220.25702508702
33,2025-10-18 13:00,40.44617504449254,-104.63841058697982,1500,0.6,1.8047527017002698,2.0863022707632326,6.0,0.5,57600,gfs,1,0.1,1.22,6400.5,1767919361.4863055,40.14247108630926,-103.55987721772647,27393.019116964057,39.992320531699335,-103.16803897395695,1497.0464558867914,134655.67529409064
34,2025-10-18 13:00,40.44566902998216,-104.63890014184442,1500,0.6,1.8017358002679251,2.110735673330682,6.0,0.5,57600,gfs,1,0.1,1.22,6078.0,1767919364.2420838,40.1585055450126,-103.6156234177177,27336.22620445859,40.00904791078423,-103.22455436612023,1498.8852373120264,129514.19700079448
35,2025-10-18 13:00,40.44567070601199,-104.63764262970156,1500,0.6,1.7550996109675285,1.9333950972261995,6.0,0.5,57600,gfs,1,0.1,1.22,11926.0,1767919371.001837,39.66717158820497,-102.40710752286982,27770.5763817166,39.54453262585466,-101.99091398655499,1497.234576258222,246714.40195618334
